shapeName,cstate,deaths_yr,adeq,gap_deaths,nearest_km,priority,version,plan_dated,note
Jaipur,RAJASTHAN,226.9,0.45,124.8,16.3,165.48160958285348,v0.7.4,September 2026,"CoverMap feasibility demonstrator (IML 2) - NOT clinical guidance; informs procurement and placement only; not yet reviewed by the national programme; a targeting list, not a placement plan; state-tier adequacy values are ordinal, not measured"
Katihar,BIHAR,277.0,0.65,97.0,27.7,150.60445394965151,v0.7.4,September 2026,"CoverMap feasibility demonstrator (IML 2) - NOT clinical guidance; informs procurement and placement only; not yet reviewed by the national programme; a targeting list, not a placement plan; state-tier adequacy values are ordinal, not measured"
Siwan,BIHAR,305.8,0.65,107.0,19.4,148.4748875567067,v0.7.4,September 2026,"CoverMap feasibility demonstrator (IML 2) - NOT clinical guidance; informs procurement and placement only; not yet reviewed by the national programme; a targeting list, not a placement plan; state-tier adequacy values are ordinal, not measured"
Alwar,RAJASTHAN,193.5,0.45,106.4,19.3,147.44197973504203,v0.7.4,September 2026,"CoverMap feasibility demonstrator (IML 2) - NOT clinical guidance; informs procurement and placement only; not yet reviewed by the national programme; a targeting list, not a placement plan; state-tier adequacy values are ordinal, not measured"
Saran,BIHAR,355.8,0.65,124.5,7.8,144.0317218095523,v0.7.4,September 2026,"CoverMap feasibility demonstrator (IML 2) - NOT clinical guidance; informs procurement and placement only; not yet reviewed by the national programme; a targeting list, not a placement plan; state-tier adequacy values are ordinal, not measured"
Jaunpur,UTTAR PRADESH,291.0,0.65,101.8,20.5,143.66848071730982,v0.7.4,September 2026,"CoverMap feasibility demonstrator (IML 2) - NOT clinical guidance; informs procurement and placement only; not yet reviewed by the national programme; a targeting list, not a placement plan; state-tier adequacy values are ordinal, not measured"
Moradabad,UTTAR PRADESH,242.1,0.65,84.7,34.1,142.52241719392399,v0.7.4,September 2026,"CoverMap feasibility demonstrator (IML 2) - NOT clinical guidance; informs procurement and placement only; not yet reviewed by the national programme; a targeting list, not a placement plan; state-tier adequacy values are ordinal, not measured"
Allahabad,UTTAR PRADESH,342.9,0.65,120.0,3.1,127.52900298318438,v0.7.4,September 2026,"CoverMap feasibility demonstrator (IML 2) - NOT clinical guidance; informs procurement and placement only; not yet reviewed by the national programme; a targeting list, not a placement plan; state-tier adequacy values are ordinal, not measured"
Vaishali,BIHAR,319.8,0.65,111.9,6.0,125.41493176211463,v0.7.4,September 2026,"CoverMap feasibility demonstrator (IML 2) - NOT clinical guidance; informs procurement and placement only; not yet reviewed by the national programme; a targeting list, not a placement plan; state-tier adequacy values are ordinal, not measured"
Aurangabad,BIHAR,228.1,0.65,79.8,28.3,125.06703601424411,v0.7.4,September 2026,"CoverMap feasibility demonstrator (IML 2) - NOT clinical guidance; informs procurement and placement only; not yet reviewed by the national programme; a targeting list, not a placement plan; state-tier adequacy values are ordinal, not measured"
Sitamarhi,BIHAR,315.1,0.65,110.3,6.4,124.34584603057081,v0.7.4,September 2026,"CoverMap feasibility demonstrator (IML 2) - NOT clinical guidance; informs procurement and placement only; not yet reviewed by the national programme; a targeting list, not a placement plan; state-tier adequacy values are ordinal, not measured"
Udaipur,RAJASTHAN,161.4,0.45,88.8,18.8,122.19531239910489,v0.7.4,September 2026,"CoverMap feasibility demonstrator (IML 2) - NOT clinical guidance; informs procurement and placement only; not yet reviewed by the national programme; a targeting list, not a placement plan; state-tier adequacy values are ordinal, not measured"
Banas Kantha,GUJARAT,178.1,0.45,98.0,12.0,121.40895315366949,v0.7.4,September 2026,"CoverMap feasibility demonstrator (IML 2) - NOT clinical guidance; informs procurement and placement only; not yet reviewed by the national programme; a targeting list, not a placement plan; state-tier adequacy values are ordinal, not measured"
Araria,BIHAR,258.1,0.65,90.3,16.5,120.1442378246256,v0.7.4,September 2026,"CoverMap feasibility demonstrator (IML 2) - NOT clinical guidance; informs procurement and placement only; not yet reviewed by the national programme; a targeting list, not a placement plan; state-tier adequacy values are ordinal, not measured"
Nawada,BIHAR,198.8,0.65,69.6,35.6,119.18928035217695,v0.7.4,September 2026,"CoverMap feasibility demonstrator (IML 2) - NOT clinical guidance; informs procurement and placement only; not yet reviewed by the national programme; a targeting list, not a placement plan; state-tier adequacy values are ordinal, not measured"
Bhagalpur,BIHAR,258.0,0.65,90.3,15.6,118.42784389331938,v0.7.4,September 2026,"CoverMap feasibility demonstrator (IML 2) - NOT clinical guidance; informs procurement and placement only; not yet reviewed by the national programme; a targeting list, not a placement plan; state-tier adequacy values are ordinal, not measured"
Nagaur,RAJASTHAN,177.1,0.45,97.4,10.3,117.53575426987035,v0.7.4,September 2026,"CoverMap feasibility demonstrator (IML 2) - NOT clinical guidance; informs procurement and placement only; not yet reviewed by the national programme; a targeting list, not a placement plan; state-tier adequacy values are ordinal, not measured"
Jodhpur,RAJASTHAN,168.8,0.45,92.9,12.3,115.77947365023925,v0.7.4,September 2026,"CoverMap feasibility demonstrator (IML 2) - NOT clinical guidance; informs procurement and placement only; not yet reviewed by the national programme; a targeting list, not a placement plan; state-tier adequacy values are ordinal, not measured"
Sitapur,UTTAR PRADESH,281.0,0.65,98.3,8.6,115.22374976955624,v0.7.4,September 2026,"CoverMap feasibility demonstrator (IML 2) - NOT clinical guidance; informs procurement and placement only; not yet reviewed by the national programme; a targeting list, not a placement plan; state-tier adequacy values are ordinal, not measured"
Gorakhpur,UTTAR PRADESH,259.0,0.65,90.7,13.0,114.161228460666,v0.7.4,September 2026,"CoverMap feasibility demonstrator (IML 2) - NOT clinical guidance; informs procurement and placement only; not yet reviewed by the national programme; a targeting list, not a placement plan; state-tier adequacy values are ordinal, not measured"
North West,NCT OF DELHI,227.9,0.65,79.8,21.3,113.74576362444643,v0.7.4,September 2026,"CoverMap feasibility demonstrator (IML 2) - NOT clinical guidance; informs procurement and placement only; not yet reviewed by the national programme; a targeting list, not a placement plan; state-tier adequacy values are ordinal, not measured"
Kheri,UTTAR PRADESH,250.6,0.65,87.7,14.7,113.48955633533632,v0.7.4,September 2026,"CoverMap feasibility demonstrator (IML 2) - NOT clinical guidance; informs procurement and placement only; not yet reviewed by the national programme; a targeting list, not a placement plan; state-tier adequacy values are ordinal, not measured"
Azamgarh,UTTAR PRADESH,298.1,0.65,104.3,3.7,112.10251382591873,v0.7.4,September 2026,"CoverMap feasibility demonstrator (IML 2) - NOT clinical guidance; informs procurement and placement only; not yet reviewed by the national programme; a targeting list, not a placement plan; state-tier adequacy values are ordinal, not measured"
Bareilly,UTTAR PRADESH,219.5,0.65,76.8,22.7,111.73463306236701,v0.7.4,September 2026,"CoverMap feasibility demonstrator (IML 2) - NOT clinical guidance; informs procurement and placement only; not yet reviewed by the national programme; a targeting list, not a placement plan; state-tier adequacy values are ordinal, not measured"
Madhepura,BIHAR,185.3,0.65,64.9,36.0,111.57977433964408,v0.7.4,September 2026,"CoverMap feasibility demonstrator (IML 2) - NOT clinical guidance; informs procurement and placement only; not yet reviewed by the national programme; a targeting list, not a placement plan; state-tier adequacy values are ordinal, not measured"
Bahraich,UTTAR PRADESH,225.6,0.65,79.0,19.5,109.82386380725654,v0.7.4,September 2026,"CoverMap feasibility demonstrator (IML 2) - NOT clinical guidance; informs procurement and placement only; not yet reviewed by the national programme; a targeting list, not a placement plan; state-tier adequacy values are ordinal, not measured"
Nalanda,BIHAR,249.3,0.65,87.2,12.5,109.08776193448062,v0.7.4,September 2026,"CoverMap feasibility demonstrator (IML 2) - NOT clinical guidance; informs procurement and placement only; not yet reviewed by the national programme; a targeting list, not a placement plan; state-tier adequacy values are ordinal, not measured"
Bikaner,RAJASTHAN,105.3,0.45,57.9,44.1,108.92901041050472,v0.7.4,September 2026,"CoverMap feasibility demonstrator (IML 2) - NOT clinical guidance; informs procurement and placement only; not yet reviewed by the national programme; a targeting list, not a placement plan; state-tier adequacy values are ordinal, not measured"
Barmer,RAJASTHAN,153.6,0.45,84.5,12.0,104.7399008145364,v0.7.4,September 2026,"CoverMap feasibility demonstrator (IML 2) - NOT clinical guidance; informs procurement and placement only; not yet reviewed by the national programme; a targeting list, not a placement plan; state-tier adequacy values are ordinal, not measured"
Begusarai,BIHAR,253.8,0.65,88.8,8.8,104.41833621183999,v0.7.4,September 2026,"CoverMap feasibility demonstrator (IML 2) - NOT clinical guidance; informs procurement and placement only; not yet reviewed by the national programme; a targeting list, not a placement plan; state-tier adequacy values are ordinal, not measured"
